unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name,vwap_
1638772440,43225.6,43240.2,43217.7,43233.9,43223.8,0.01620214,11,2021-12-06 06:34:00,700.4817005460001,BTCEUR,43233.9
1638772500,43233.8,43233.8,43230.0,43230.1,43231.8,0.07261585,9,2021-12-06 06:35:00,3139.1904570849997,BTCEUR,43230.79
1638772560,43230.0,43235.3,43230.0,43235.3,43230.5,0.03058948,5,2021-12-06 06:36:00,1322.5453446440001,BTCEUR,43231.95
1638772620,43235.3,43247.9,43230.0,43230.1,43237.4,0.25370753,11,2021-12-06 06:37:00,10967.801892653,BTCEUR,43230.69
1638772680,43230.0,43230.0,43203.4,43203.4,43209.3,0.28070071,14,2021-12-06 06:38:00,12127.225054414,BTCEUR,43218.98
1638772740,43203.5,43203.5,43203.4,43203.5,43203.4,0.08976112,12,2021-12-06 06:39:00,3877.99454792,BTCEUR,43217.11
1638772800,43203.5,43203.5,43203.4,43203.5,43203.4,0.03024254,7,2021-12-06 06:40:00,1306.58357689,BTCEUR,43216.58
1638772860,43203.4,43203.4,43197.0,43197.0,43198.9,0.26409488,5,2021-12-06 06:41:00,11408.10653136,BTCEUR,43211.6
1638772920,43172.2,43172.2,43004.9,43004.9,43058.7,1.11546876,26,2021-12-06 06:42:00,47970.622476924,BTCEUR,43104.77
1638772980,43004.9,43004.9,42952.5,43001.1,42980.3,4.36063759,36,2021-12-06 06:43:00,187512.213071349,BTCEUR,43035.43
1638773040,43004.8,43004.8,42943.1,43004.8,42982.0,2.68748298,41,2021-12-06 06:44:00,115574.668058304,BTCEUR,43026.49
1638773100,43004.9,43092.8,43002.1,43074.9,43013.3,2.75917106,26,2021-12-06 06:45:00,118851.017492394,BTCEUR,43037.66
1638773160,43070.2,43070.2,43014.1,43029.4,43030.7,0.47977925,18,2021-12-06 06:46:00,20644.61325995,BTCEUR,43037.35
1638773220,43017.3,43017.3,42960.5,42972.6,42988.0,0.08922205,14,2021-12-06 06:47:00,3834.1034658299995,BTCEUR,43036.89
1638773280,42982.3,43000.0,42974.2,43000.0,42992.7,0.08069317,16,2021-12-06 06:48:00,3469.80631,BTCEUR,43036.65
1638773340,43000.0,43000.0,42910.2,42954.8,42987.5,6.19650381,32,2021-12-06 06:49:00,266169.581857788,BTCEUR,43009.72
1638773400,42981.1,42991.9,42937.5,42945.1,42938.7,0.34175088,18,2021-12-06 06:50:00,14676.525716687998,BTCEUR,43008.56
1638773460,42926.4,42926.4,42917.3,42925.2,42917.3,0.75163978,5,2021-12-06 06:51:00,32264.287884455996,BTCEUR,43005.42
1638773520,42934.1,42949.0,42934.1,42937.4,42938.1,0.04219537,11,2021-12-06 06:52:00,1811.7594798380003,BTCEUR,43005.28
1638773580,42910.2,42915.4,42772.7,42803.1,42806.7,9.81906266,82,2021-12-06 06:53:00,420286.320942246,BTCEUR,42938.78
1638773640,42803.0,42803.0,42700.1,42774.7,42753.1,1.94489291,36,2021-12-06 06:54:00,83192.210757377,BTCEUR,42928.76
1638773700,42774.6,42805.3,42757.6,42768.3,42786.3,1.69428216,48,2021-12-06 06:55:00,72461.56770352801,BTCEUR,42920.65
1638773760,42768.3,42819.1,42743.1,42743.2,42793.3,0.77686462,18,2021-12-06 06:56:00,33205.679825584,BTCEUR,42916.63
1638773820,42743.1,42791.8,42742.3,42791.4,42777.7,0.19684160,21,2021-12-06 06:57:00,8423.12764224,BTCEUR,42915.91
1638773880,42795.2,42795.2,42746.3,42772.6,42760.5,3.55788555,27,2021-12-06 06:58:00,152180.01547593,BTCEUR,42902.51
1638773940,42766.7,42817.1,42764.9,42765.7,42774.4,0.55065756,23,2021-12-06 06:59:00,23549.256013691996,BTCEUR,42900.56
1638774000,42765.6,42765.7,42665.6,42687.5,42679.9,6.71299495,50,2021-12-06 07:00:00,286560.971928125,BTCEUR,42869.05
1638774060,42672.2,42696.5,42626.6,42630.6,42660.6,0.35457797,22,2021-12-06 07:01:00,15115.871607882,BTCEUR,42867.2
