unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name
1639045080,3792.50,3793.20,3791.18,3792.84,3792.94,4.62563414,10,2021-12-09 10:18:00,17544.2901915576,ETHEUR
1639045140,3794.43,3795.55,3794.43,3795.55,3794.97,1.34732453,9,2021-12-09 10:19:00,5113.837619841501,ETHEUR
1639045200,3798.88,3801.23,3797.27,3797.27,3800.95,2.12916469,11,2021-12-09 10:20:00,8085.013202396301,ETHEUR
1639045260,3795.94,3800.85,3795.94,3800.85,3799.34,5.81396259,10,2021-12-09 10:21:00,22097.9997102015,ETHEUR
1639045320,3797.58,3797.58,3794.53,3797.01,3796.41,0.81941514,6,2021-12-09 10:22:00,3111.3274807314006,ETHEUR
1639045380,3797.01,3797.01,3792.49,3792.50,3795.30,6.63028787,15,2021-12-09 10:23:00,25145.366746975,ETHEUR
1639045440,3794.85,3796.35,3794.85,3796.01,3795.78,0.10085632,5,2021-12-09 10:24:00,382.8515992832,ETHEUR
1639045500,3795.47,3795.47,3792.51,3793.30,3794.36,2.71393399,6,2021-12-09 10:25:00,10294.765804267001,ETHEUR
1639045560,3793.12,3793.78,3792.49,3792.50,3792.50,5.47805381,11,2021-12-09 10:26:00,20775.519074425,ETHEUR
1639045620,3792.49,3792.50,3791.01,3791.01,3791.49,1.26252849,10,2021-12-09 10:27:00,4786.2581308749,ETHEUR
1639045680,3791.40,3792.40,3791.00,3791.10,3791.98,3.11561331,6,2021-12-09 10:28:00,11811.601619541,ETHEUR
1639045740,3793.87,3793.87,3785.24,3785.24,3790.24,3.51199047,13,2021-12-09 10:29:00,13293.7268066628,ETHEUR
1639045800,3785.45,3793.88,3785.22,3793.88,3787.00,9.58487942,17,2021-12-09 10:30:00,36363.8823339496,ETHEUR
1639045860,3793.87,3797.90,3793.87,3797.90,3794.40,8.98494121,11,2021-12-09 10:31:00,34123.908221459,ETHEUR
1639045920,3797.90,3797.90,3788.33,3788.33,3793.83,3.58692195,15,2021-12-09 10:32:00,13588.444030843499,ETHEUR
1639045980,3787.93,3791.35,3787.93,3791.35,3790.55,1.71806073,5,2021-12-09 10:33:00,6513.7695486855,ETHEUR
1639046040,3788.36,3793.06,3787.96,3793.06,3789.31,16.81036224,12,2021-12-09 10:34:00,63762.7125980544,ETHEUR
1639046100,3794.34,3795.00,3791.80,3795.00,3794.15,1.74410889,7,2021-12-09 10:35:00,6618.89323755,ETHEUR
1639046160,3795.00,3800.77,3795.00,3800.77,3796.75,8.06264188,16,2021-12-09 10:36:00,30644.247378247597,ETHEUR
1639046220,3800.35,3800.37,3800.35,3800.37,3800.36,2.00000000,3,2021-12-09 10:37:00,7600.74,ETHEUR
1639046280,3799.26,3801.20,3799.25,3801.20,3801.06,0.44902409,3,2021-12-09 10:38:00,1706.8303709079998,ETHEUR
1639046340,3801.21,3806.93,3801.21,3806.67,3803.65,10.16556694,16,2021-12-09 10:39:00,38696.9587034898,ETHEUR
1639046400,3806.43,3806.43,3806.43,3806.43,3806.43,1.59323142,3,2021-12-09 10:40:00,6064.5238740305995,ETHEUR
