unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name
1638662700,43706.0,43706.0,43558.9,43643.6,43575.6,0.24042727,22,2021-12-05 00:05:00,10493.111600971999,XBTEUR
1638662760,43659.0,43750.1,43655.4,43750.0,43707.8,1.31386567,20,2021-12-05 00:06:00,57481.6230625,XBTEUR
1638662820,43748.8,43789.1,43728.8,43789.1,43745.6,0.63944949,17,2021-12-05 00:07:00,28000.917662558997,XBTEUR
1638662880,43789.1,43789.1,43789.0,43789.1,43789.0,0.29375257,16,2021-12-05 00:08:00,12863.160662986998,XBTEUR
1638662940,43796.1,43836.9,43796.1,43827.2,43834.5,0.63079673,25,2021-12-05 00:09:00,27646.054445056,XBTEUR
1638663000,43804.7,43999.9,43804.7,43962.5,43920.7,3.87368119,36,2021-12-05 00:10:00,170296.70931537502,XBTEUR
1638663060,43971.8,44000.0,43864.4,43889.2,43973.5,1.37676020,39,2021-12-05 00:11:00,60424.90376984,XBTEUR
1638663120,43890.7,43890.7,43770.4,43820.8,43833.5,3.28377183,22,2021-12-05 00:12:00,143897.508608064,XBTEUR
1638663180,43792.5,43792.6,43722.3,43737.2,43753.2,0.83783432,20,2021-12-05 00:13:00,36644.527220703996,XBTEUR
1638663240,43743.2,43785.6,43737.9,43741.1,43738.5,0.14106723,14,2021-12-05 00:14:00,6170.435814152999,XBTEUR
1638663300,43649.2,43815.4,43637.4,43815.2,43706.3,15.08886730,69,2021-12-05 00:15:00,661121.73852296,XBTEUR
1638663360,43813.1,43813.2,43707.3,43739.5,43789.9,0.77130112,14,2021-12-05 00:16:00,33736.32533824,XBTEUR
1638663420,43739.6,43874.5,43739.5,43874.5,43741.7,1.18049357,16,2021-12-05 00:17:00,51793.56513696501,XBTEUR
1638663480,43916.8,44000.0,43916.8,44000.0,43950.9,0.67759060,22,2021-12-05 00:18:00,29813.9864,XBTEUR
1638663540,43999.9,44000.0,43962.0,43981.7,43988.6,0.12126863,16,2021-12-05 00:19:00,5333.600504071,XBTEUR
1638663600,43986.3,44000.0,43960.1,43960.1,43999.9,0.80664205,17,2021-12-05 00:20:00,35460.065182205,XBTEUR
1638663660,43960.0,43960.0,43873.4,43917.9,43888.3,0.25954078,25,2021-12-05 00:21:00,11398.486021962002,XBTEUR
1638663720,43899.8,43903.8,43885.1,43903.8,43901.9,0.04166683,10,2021-12-05 00:22:00,1829.3321709540003,XBTEUR
1638663780,43966.5,44000.0,43966.5,44000.0,43999.5,6.01124941,35,2021-12-05 00:23:00,264494.97404,XBTEUR
1638663840,44011.0,44013.1,43877.8,43881.2,43948.0,1.14030641,28,2021-12-05 00:24:00,50038.013638492,XBTEUR
1638663900,43877.2,43877.2,43842.2,43842.2,43851.6,1.85421221,18,2021-12-05 00:25:00,81292.742553262,XBTEUR
1638663960,43842.2,43854.6,43770.1,43770.1,43814.2,0.67232381,25,2021-12-05 00:26:00,29427.680396081,XBTEUR
1638664020,43750.7,43758.3,43731.7,43746.7,43749.5,0.08020811,10,2021-12-05 00:27:00,3508.8401257369997,XBTEUR
1638664080,43760.0,43760.0,43729.8,43755.1,43736.1,0.42525203,16,2021-12-05 00:28:00,18606.945097853,XBTEUR
1638664140,43725.5,43725.5,43671.2,43671.2,43702.7,0.54642727,13,2021-12-05 00:29:00,23863.134593624,XBTEUR
1638664200,43669.5,43669.5,43640.8,43650.1,43642.7,0.10758002,8,2021-12-05 00:30:00,4695.878631002,XBTEUR
1638664260,43650.0,43650.0,43553.0,43553.0,43586.8,0.72511521,35,2021-12-05 00:31:00,31580.942741130002,XBTEUR
1638664320,43583.1,43590.2,43447.8,43447.8,43499.1,1.42834275,46,2021-12-05 00:32:00,62058.35013345001,XBTEUR
1638664380,43449.6,43491.7,43390.0,43390.0,43438.8,1.56597025,41,2021-12-05 00:33:00,67947.4491475,XBTEUR
1638664440,43390.0,43390.0,43140.9,43196.6,43203.4,4.95397744,83,2021-12-05 00:34:00,213994.981884704,XBTEUR
1638664500,43245.1,43245.1,43116.9,43154.9,43137.4,3.74047069,51,2021-12-05 00:35:00,161419.638579881,XBTEUR
1638664560,43216.2,43338.5,43199.8,43284.0,43303.7,0.50420467,29,2021-12-05 00:36:00,21823.99493628,XBTEUR
1638664620,43283.9,43293.2,43139.6,43263.8,43160.3,0.69646428,31,2021-12-05 00:37:00,30131.691317064004,XBTEUR
1638664680,43284.4,43292.6,43215.2,43231.3,43258.4,0.08910635,13,2021-12-05 00:38:00,3852.183348755,XBTEUR
1638664740,43209.3,43209.3,42886.0,43043.7,42997.7,14.36080845,149,2021-12-05 00:39:00,618142.330679265,XBTEUR
1638664800,43071.8,43083.7,42988.1,43083.7,43056.7,1.57487615,40,2021-12-05 00:40:00,67851.49158375499,XBTEUR
1638664860,43080.0,43080.0,42994.8,43009.1,43002.8,1.74532632,23,2021-12-05 00:41:00,75064.914229512,XBTEUR
1638664920,43014.7,43068.3,42940.7,42959.8,43023.3,0.92369550,18,2021-12-05 00:42:00,39681.773940900006,XBTEUR
1638664980,42947.6,42951.6,42859.2,42894.7,42908.3,0.67286201,36,2021-12-05 00:43:00,28862.214060347,XBTEUR
1638665040,42919.0,43075.8,42919.0,43031.2,42970.6,0.32078352,26,2021-12-05 00:44:00,13803.699805823999,XBTEUR
1638665100,43005.7,43123.5,43005.7,43121.2,43045.7,0.43319169,19,2021-12-05 00:45:00,18679.745502828,XBTEUR
1638665160,43119.2,43133.5,43066.3,43133.5,43102.9,0.35712411,21,2021-12-05 00:46:00,15404.012798685,XBTEUR
1638665220,43133.5,43190.6,43133.4,43181.7,43156.4,0.44428138,14,2021-12-05 00:47:00,19184.825266746,XBTEUR
1638665280,43172.6,43209.3,43124.6,43209.3,43145.1,0.45817707,18,2021-12-05 00:48:00,19797.510470751004,XBTEUR
1638665340,43231.3,43360.6,43231.3,43360.6,43270.0,0.72315904,23,2021-12-05 00:49:00,31356.609869824,XBTEUR
1638665400,43360.9,43360.9,43325.0,43331.2,43336.8,0.19843884,12,2021-12-05 00:50:00,8598.593063807999,XBTEUR
1638665460,43356.2,43385.7,43334.5,43334.5,43351.7,0.64584987,18,2021-12-05 00:51:00,27987.581191515,XBTEUR
1638665520,43292.4,43303.8,43215.6,43303.8,43259.0,0.37055105,15,2021-12-05 00:52:00,16046.268558990001,XBTEUR
1638665580,43312.5,43510.3,43312.5,43510.3,43427.3,2.68720018,31,2021-12-05 00:53:00,116920.88599185401,XBTEUR
1638665640,43517.3,43517.3,43375.9,43375.9,43448.4,6.47619591,41,2021-12-05 00:54:00,280910.826172569,XBTEUR
1638665700,43343.7,43395.5,43338.8,43350.1,43363.3,2.40716669,18,2021-12-05 00:55:00,104350.91672816899,XBTEUR
1638665760,43350.0,43371.2,43305.5,43371.2,43331.5,7.54292709,20,2021-12-05 00:56:00,327145.799405808,XBTEUR
1638665820,43414.6,43491.8,43414.6,43491.8,43485.3,2.93625534,11,2021-12-05 00:57:00,127703.02999621202,XBTEUR
1638665880,43507.9,43516.2,43449.7,43516.2,43508.5,3.29808436,24,2021-12-05 00:58:00,143520.09862663198,XBTEUR
1638665940,43511.6,43511.6,43447.2,43447.2,43466.0,0.03705952,11,2021-12-05 00:59:00,1610.132377344,XBTEUR
1638666000,43424.7,43424.7,43276.3,43277.0,43380.5,8.48446909,36,2021-12-05 01:00:00,367182.36880793,XBTEUR
1638666060,43323.4,43323.4,43240.2,43276.6,43297.6,1.66636915,26,2021-12-05 01:01:00,72114.79115689,XBTEUR
1638666120,43274.2,43363.5,43254.8,43287.2,43328.8,3.61110385,22,2021-12-05 01:02:00,156314.57457572,XBTEUR
1638666180,43276.9,43338.6,43239.5,43338.5,43281.3,2.92663562,19,2021-12-05 01:03:00,126835.99781737,XBTEUR
1638666240,43276.1,43282.5,43235.4,43238.8,43262.3,2.44642127,25,2021-12-05 01:04:00,105780.32000927601,XBTEUR
1638666300,43275.5,43280.6,43225.7,43225.7,43241.1,3.61477766,21,2021-12-05 01:05:00,156251.294697862,XBTEUR
1638666360,43237.8,43250.1,43193.5,43208.0,43201.5,5.17386358,17,2021-12-05 01:06:00,223552.29756464,XBTEUR
1638666420,43220.4,43317.5,43220.4,43250.0,43268.9,1.87682287,23,2021-12-05 01:07:00,81172.5891275,XBTEUR
1638666480,43252.5,43330.1,43252.5,43329.8,43324.7,8.07056023,34,2021-12-05 01:08:00,349695.760653854,XBTEUR
1638666540,43326.8,43365.3,43295.2,43295.5,43331.6,1.04864063,45,2021-12-05 01:09:00,45401.420396165,XBTEUR
1638666600,43309.1,43405.9,43309.1,43398.9,43392.6,1.22171111,47,2021-12-05 01:10:00,53020.918291779,XBTEUR
1638666660,43398.9,43414.2,43371.4,43414.1,43387.3,1.03978704,27,2021-12-05 01:11:00,45141.418533264,XBTEUR
1638666720,43400.4,43445.0,43382.8,43429.1,43427.0,0.77531327,32,2021-12-05 01:12:00,33671.157534157,XBTEUR
1638666780,43445.1,43448.4,43425.5,43443.5,43442.6,0.94715475,20,2021-12-05 01:13:00,41147.717381625,XBTEUR
1638666840,43451.1,43457.7,43396.1,43396.1,43426.4,1.61192917,11,2021-12-05 01:14:00,69951.439454237,XBTEUR
1638666900,43396.0,43396.0,43361.9,43394.6,43381.2,1.37302873,8,2021-12-05 01:15:00,59582.03252685799,XBTEUR
1638666960,43411.4,43500.7,43411.4,43500.7,43474.2,0.87892048,18,2021-12-05 01:16:00,38233.656124336,XBTEUR
1638667020,43491.7,43511.4,43452.9,43511.4,43488.6,1.73392739,21,2021-12-05 01:17:00,75445.60823724601,XBTEUR
1638667080,43487.2,43504.8,43476.1,43495.2,43490.1,0.60764007,19,2021-12-05 01:18:00,26429.426372664,XBTEUR
1638667140,43498.4,43515.6,43498.4,43515.6,43513.9,2.05315023,15,2021-12-05 01:19:00,89344.06414858799,XBTEUR
1638667200,43515.5,43515.5,43407.3,43407.3,43466.8,2.35589634,25,2021-12-05 01:20:00,102263.09919928202,XBTEUR
1638667260,43430.0,43537.7,43430.0,43537.7,43457.9,1.95511380,20,2021-12-05 01:21:00,85121.15809026,XBTEUR
1638667320,43544.2,43544.2,43402.0,43426.8,43515.7,2.56872829,21,2021-12-05 01:22:00,111551.64970417201,XBTEUR
1638667380,43383.8,43387.6,43363.7,43371.2,43381.6,1.23079748,11,2021-12-05 01:23:00,53381.163664576,XBTEUR
1638667440,43377.4,43446.9,43377.3,43446.9,43398.2,2.59636687,19,2021-12-05 01:24:00,112804.09176420301,XBTEUR
1638667500,43444.4,43483.7,43419.3,43478.4,43450.2,6.80045983,23,2021-12-05 01:25:00,295673.112672672,XBTEUR
1638667560,43461.4,43465.0,43440.5,43440.5,43444.8,5.36990384,15,2021-12-05 01:26:00,233271.30776152,XBTEUR
1638667620,43422.2,43422.2,43358.7,43358.7,43416.4,0.00739142,5,2021-12-05 01:27:00,320.482362354,XBTEUR
1638667680,43337.9,43337.9,43275.8,43275.8,43287.3,3.93227315,24,2021-12-05 01:28:00,170172.26638477002,XBTEUR
1638667740,43275.8,43275.8,43275.8,43275.8,43275.8,1.62428552,8,2021-12-05 01:29:00,70292.255306416,XBTEUR
1638667800,43275.8,43317.6,43275.8,43294.2,43280.9,4.20814904,19,2021-12-05 01:30:00,182188.446167568,XBTEUR
1638667860,43294.8,43328.2,43278.3,43328.2,43294.4,1.82921345,10,2021-12-05 01:31:00,79256.52620428998,XBTEUR
1638667920,43328.4,43328.4,43293.1,43293.1,43317.6,1.46354025,8,2021-12-05 01:32:00,63361.194397275,XBTEUR
1638667980,43275.8,43285.3,43275.8,43279.1,43277.7,2.28730037,6,2021-12-05 01:33:00,98992.301443267,XBTEUR
1638668040,43278.7,43309.2,43276.3,43309.2,43277.8,0.07286299,8,2021-12-05 01:34:00,3155.637806508,XBTEUR
1638668100,43309.4,43370.2,43309.4,43370.2,43328.0,0.01158913,6,2021-12-05 01:35:00,502.6228859259999,XBTEUR
1638668160,43370.1,43384.8,43370.1,43374.3,43378.1,0.00261060,5,2021-12-05 01:36:00,113.23294758,XBTEUR
1638668220,43406.4,43486.6,43406.4,43481.3,43432.5,0.25874960,13,2021-12-05 01:37:00,11250.768982480002,XBTEUR
1638668280,43486.7,43499.2,43484.5,43484.5,43488.3,1.22103957,10,2021-12-05 01:38:00,53096.295181665,XBTEUR
1638668340,43484.8,43500.0,43484.8,43500.0,43496.8,3.41628896,8,2021-12-05 01:39:00,148608.56976,XBTEUR
1638668400,43499.9,43500.0,43499.9,43500.0,43499.9,7.49321399,32,2021-12-05 01:40:00,325954.808565,XBTEUR
1638668460,43545.1,43588.0,43533.4,43588.0,43545.2,0.21519294,11,2021-12-05 01:41:00,9379.82986872,XBTEUR
1638668520,43588.0,43596.5,43567.9,43573.4,43592.1,0.33559741,12,2021-12-05 01:42:00,14623.120184894,XBTEUR
1638668580,43573.5,43583.4,43538.2,43540.1,43576.6,0.59407441,15,2021-12-05 01:43:00,25866.059218841,XBTEUR
1638668640,43557.2,43600.0,43557.2,43600.0,43599.8,1.30053619,13,2021-12-05 01:44:00,56703.377884,XBTEUR
1638668700,43599.9,43604.8,43594.2,43604.8,43598.2,3.14367550,14,2021-12-05 01:45:00,137079.3414424,XBTEUR
1638668760,43614.0,43649.9,43580.7,43596.4,43610.0,3.08632453,29,2021-12-05 01:46:00,134552.63873969202,XBTEUR
1638668820,43556.3,43593.8,43533.0,43561.7,43546.7,0.37219943,13,2021-12-05 01:47:00,16213.639909831,XBTEUR
1638668880,43574.6,43574.6,43548.5,43551.1,43556.2,0.10325619,6,2021-12-05 01:48:00,4496.920656309,XBTEUR
1638668940,43556.8,43568.1,43556.8,43562.4,43567.8,1.36968358,7,2021-12-05 01:49:00,59666.703985392,XBTEUR
1638669000,43538.5,43539.6,43531.5,43531.5,43538.6,0.58839769,6,2021-12-05 01:50:00,25613.834042234997,XBTEUR
